"start_date","end_date","city","timeframe","CITY_nf","Pct_births_low_wt","Pct_births_teen","indc"
"01JAN2003","31DEC2003","Washington, D.C.",2003,1,11,11,1
"01JAN2004","31DEC2004","Washington, D.C.",2004,1,11,11,1
"01JAN2005","31DEC2005","Washington, D.C.",2005,1,11,11,1
"01JAN2006","31DEC2006","Washington, D.C.",2006,1,11,12,1
"01JAN2007","31DEC2007","Washington, D.C.",2007,1,11,12,1
"01JAN2008","31DEC2008","Washington, D.C.",2008,1,10,12,1
"01JAN2009","31DEC2009","Washington, D.C.",2009,1,10.0,12,1
"01JAN2010","31DEC2010","Washington, D.C.",2010,1,9.8,11,1
"01JAN2011","31DEC2011","Washington, D.C.",2011,1,10,9.8,1
"01JAN2012","31DEC2012","Washington, D.C.",2012,1,9.3,8.5,1
"01JAN2013","31DEC2013","Washington, D.C.",2013,1,9.4,7.1,1
"01JAN2014","31DEC2014","Washington, D.C.",2014,1,9.7,6.1,1
"01JAN2015","31DEC2015","Washington, D.C.",2015,1,9.9,5.3,1
"01JAN2016","31DEC2016","Washington, D.C.",2016,1,9.9,4.8,1

